9.66 -0.3 -0.41 0.06 -0.25 -0.06 -49.06 -5.75 23.56 88.19 87.13 178.31 1068343.0 1583076458.4496584 40
9.68 -0.41 -0.5 0.25 0.0 0.06 -48.0 -5.75 24.5 88.19 87.13 178.31 1068393.0 1583076458.5000784 41
9.68 -0.33 -0.39 0.06 0.0 -0.13 -48.0 -5.5 24.5 88.19 87.13 178.31 1068443.0 1583076458.5452652 42
9.65 -0.37 -0.48 0.0 -0.19 0.19 -49.06 -6.19 24.75 88.19 87.13 178.31 1068493.0 1583076458.5985627 43
9.66 -0.38 -0.42 0.19 -0.06 0.13 -48.69 -5.06 24.75 88.19 87.13 178.31 1068543.0 1583076458.6421492 44
9.65 -0.33 -0.44 -0.13 -0.13 -0.13 -49.06 -5.75 24.0 88.19 87.13 178.31 1068593.0 1583076458.7007873 45
9.65 -0.34 -0.39 0.06 0.0 0.0 -48.69 -5.06 24.5 88.19 87.13 178.31 1068643.0 1583076458.7425537 46
9.65 -0.36 -0.48 0.0 0.0 -0.06 -48.69 -5.5 24.5 88.19 87.13 178.31 1068693.0 1583076458.7963958 47
9.68 -0.37 -0.41 0.0 0.25 -0.06 -49.75 -5.06 23.56 88.19 87.13 178.31 1068743.0 1583076458.8465424 48
9.64 -0.33 -0.43 -0.19 0.13 -0.19 -49.06 -5.5 24.5 88.19 87.13 178.31 1068793.0 1583076458.8980076 49
9.66 -0.37 -0.44 0.0 0.19 0.13 -48.38 -6.19 25.56 88.19 87.13 178.31 1068843.0 1583076458.9496803 50
9.69 -0.38 -0.42 0.0 -0.06 0.0 -48.38 -5.5 24.75 88.19 87.13 178.31 1068893.0 1583076458.9997168 51
9.64 -0.33 -0.45 -0.13 -0.13 -0.19 -48.69 -5.75 24.75 88.19 87.13 178.31 1068943.0 1583076459.0392032 52
9.68 -0.4 -0.41 0.0 0.13 0.19 -49.06 -8.0 23.56 88.19 87.13 178.31 1068993.0 1583076459.0964403 53
9.66 -0.38 -0.45 -0.13 0.06 -0.19 -48.38 -4.75 24.5 88.19 87.13 178.31 1069043.0 1583076459.1479192 54
9.66 -0.34 -0.38 -0.13 0.13 0.0 -49.75 -5.75 24.5 88.19 87.13 178.31 1069093.0 1583076459.1982045 55
9.64 -0.38 -0.45 0.0 -0.19 -0.06 -49.06 -6.56 24.0 88.19 87.13 178.31 1069143.0 1583076459.243424 56
9.67 -0.33 -0.41 0.06 0.06 0.0 -48.38 -6.19 24.5 88.19 87.13 178.31 1069193.0 1583076459.2991104 57
9.68 -0.35 -0.43 0.06 0.06 -0.06 -48.69 -5.5 24.0 88.19 87.13 178.31 1069243.0 1583076459.3466308 58
9.67 -0.36 -0.42 0.13 -0.06 0.19 -48.69 -5.75 24.75 88.19 87.13 178.31 1069293.0 1583076459.3976488 59
9.65 -0.35 -0.42 0.06 -0.13 0.0 -48.69 -5.75 24.75 88.19 87.13 178.31 1069343.0 1583076459.4490354 60
9.67 -0.32 -0.43 0.0 0.06 -0.13 -49.5 -5.5 24.5 88.19 87.13 178.31 1069393.0 1583076459.4943733 61
9.66 -0.36 -0.43 -0.06 -0.13 -0.06 -48.38 -5.5 25.56 88.19 87.13 178.31 1069443.0 1583076459.538471 62
9.67 -0.39 -0.47 0.06 0.13 -0.06 -49.5 -5.5 23.19 88.19 87.13 178.31 1069493.0 1583076459.5969865 63
9.61 -0.33 -0.38 -0.06 0.13 -0.25 -49.06 -5.75 24.75 88.19 87.13 178.31 1069543.0 1583076459.6481326 64
9.65 -0.39 -0.44 -0.06 -0.19 0.06 -49.5 -5.75 25.25 88.19 87.13 178.31 1069593.0 1583076459.6973157 65
9.7 -0.35 -0.4 0.06 0.0 0.25 -48.69 -5.75 23.19 88.19 87.13 178.31 1069643.0 1583076459.742533 66
9.67 -0.39 -0.43 -0.13 0.13 0.0 -48.38 -5.5 23.56 88.19 87.13 178.31 1069693.0 1583076459.796593 67
9.67 -0.36 -0.44 -0.06 0.0 -0.13 -48.38 -5.5 24.5 88.19 87.13 178.31 1069743.0 1583076459.8471775 68
