0 3439411 4272374 3836890 1582585128.912411
1 3619615 4225449 3835494 1582585128.9146192
2 4599929 4294659 4050314 1582585128.915866
3 5356008 4485103 4758695 1582585128.9175024
4 5449025 4342225 4891571 1582585128.9189212
5 5550871 4276956 4925058 1582585128.9203582
6 5533920 4313345 4904635 1582585128.9217892
7 5530565 4376813 4884883 1582585128.9233012
8 5422296 4278381 4816058 1582585128.9247215
9 4911926 4294846 4419806 1582585128.9267175
10 3990030 4380176 3871866 1582585128.9280796
11 3710075 4332785 3950519 1582585128.929242
12 3516569 4202915 3880533 1582585128.9312766
13 3362324 4188993 3746281 1582585128.932322
14 3457830 4206986 3649330 1582585128.9333208
15 3812971 4305830 3888604 1582585128.9361107
16 3548765 4306769 3930998 1582585128.9371483
17 3562120 4271886 3942486 1582585128.9391022
18 3554551 4280880 3924659 1582585128.9403133
19 3411619 4154563 3820411 1582585128.941587
20 3750455 4233815 4465321 1582585128.943903
21 4549616 4276983 5568796 1582585128.9448156
22 4695683 4254923 5739288 1582585128.9468095
23 4792444 4391676 5773836 1582585128.9478078
24 4820933 4632318 5791565 1582585128.9490914
25 4750980 4567766 5795034 1582585128.9500868
26 4755159 4529969 5737188 1582585128.9517622
27 4117146 4358491 5109868 1582585128.9531047
28 3849851 4293125 4401179 1582585128.9545653
29 3776011 4367978 4005825 1582585128.9561865
30 3594296 4312475 3982548 1582585128.9571848
31 3454409 4079278 3640268 1582585128.959178
32 3544690 4121898 3734821 1582585128.9611716
33 4020553 5268470 4631279 1582585128.963166
34 4608154 5656884 4927923 1582585128.9651613
35 4688568 5696604 4990874 1582585128.9661603
36 4663214 5723510 5041074 1582585128.9711623
37 4671225 5724094 5025980 1582585128.9724133
38 4678365 5724668 5038686 1582585128.9734492
39 4498075 5373385 4648220 1582585128.975406
40 4043683 4688716 4069703 1582585128.9764004
41 3729988 4306005 3903755 1582585128.9783995
42 4337215 4269116 3931103 1582585128.9797835
43 4950385 4235118 4037745 1582585128.9808197
